files,type
FashionMNIST_0.png,9
FashionMNIST_1.png,0
FashionMNIST_2.png,0
FashionMNIST_3.png,3
FashionMNIST_4.png,0
FashionMNIST_5.png,2
FashionMNIST_6.png,7
FashionMNIST_7.png,2
FashionMNIST_8.png,5
FashionMNIST_9.png,5
FashionMNIST_10.png,0
FashionMNIST_11.png,9
FashionMNIST_12.png,5
FashionMNIST_13.png,5
FashionMNIST_14.png,7
FashionMNIST_15.png,9
FashionMNIST_16.png,1
FashionMNIST_17.png,0
FashionMNIST_18.png,6
FashionMNIST_19.png,4
FashionMNIST_20.png,3
FashionMNIST_21.png,1
FashionMNIST_22.png,4
FashionMNIST_23.png,8
FashionMNIST_24.png,4
FashionMNIST_25.png,3
FashionMNIST_26.png,0
FashionMNIST_27.png,2
FashionMNIST_28.png,4
FashionMNIST_29.png,4
FashionMNIST_30.png,5
FashionMNIST_31.png,3
FashionMNIST_32.png,6
FashionMNIST_33.png,6
FashionMNIST_34.png,0
FashionMNIST_35.png,8
FashionMNIST_36.png,5
FashionMNIST_37.png,2
FashionMNIST_38.png,1
FashionMNIST_39.png,6
FashionMNIST_40.png,6
FashionMNIST_41.png,7
FashionMNIST_42.png,9
FashionMNIST_43.png,5
FashionMNIST_44.png,9
FashionMNIST_45.png,2
FashionMNIST_46.png,7
FashionMNIST_47.png,3
FashionMNIST_48.png,0
FashionMNIST_49.png,3
FashionMNIST_50.png,3
FashionMNIST_51.png,3
FashionMNIST_52.png,7
FashionMNIST_53.png,2
FashionMNIST_54.png,2
FashionMNIST_55.png,6
FashionMNIST_56.png,6
FashionMNIST_57.png,8
FashionMNIST_58.png,3
FashionMNIST_59.png,3
FashionMNIST_60.png,5
FashionMNIST_61.png,0
FashionMNIST_62.png,5
FashionMNIST_63.png,5
FashionMNIST_64.png,0
FashionMNIST_65.png,2
FashionMNIST_66.png,0
FashionMNIST_67.png,0
FashionMNIST_68.png,4
FashionMNIST_69.png,1
FashionMNIST_70.png,3
FashionMNIST_71.png,1
FashionMNIST_72.png,6
FashionMNIST_73.png,3
FashionMNIST_74.png,1
FashionMNIST_75.png,4
FashionMNIST_76.png,4
FashionMNIST_77.png,6
FashionMNIST_78.png,1
FashionMNIST_79.png,9
FashionMNIST_80.png,1
FashionMNIST_81.png,3
FashionMNIST_82.png,5
FashionMNIST_83.png,7
